date,samsung
01-07-18,606.98
02-07-18,614.48
03-07-18,617.62
04-07-18,609.86
05-07-18,600.00
06-07-18,618.63
07-07-18,611.75
08-07-18,611.91
09-07-18,612.08
10-07-18,612.24
11-07-18,612.4
12-07-18,612.57
13-07-18,612.73
14-07-18,612.89
15-07-18,613.05
16-07-18,613.22
17-07-18,600.22
18-07-18,613.54
19-07-18,613.71
20-07-18,613.87
21-07-18,614.03
22-07-18,614.19
23-07-18,614.36
24-07-18,614.52
25-07-18,614.68
26-07-18,614.85
27-07-18,615.01
28-07-18,615.17
29-07-18,615.33
30-07-18,615.5
31-07-18,615.66
01-08-18,620.00
